codigo|descripcion|nacionalidad
1|ARGENTINA|ARGENTINA
2|ITALIA|ITALIANA
3|URUGUAY|URUGUAYA
4|BOLIVIA|BOLIVIANA
5|PARAGUAY|PARAGUAYA
10|CHINA|CHINA
6|CHILE|CHILE
7|PERU|PERUANO
8|JAPON|
9|EE.UU.|AMERICANO
11|BRASIL|BRASIL
12|COLOMBIA|COLOMBIANO/A
13|ESPANIA|ESPANIOL/A
33|CANADA|CANADIENSE
63|MARRUECOS|MARROQUI
20|PERU|PERUANO
14|TAIWAN|TAIWANESA
37|INGLATERRA|INGLES
