codigo|codigo_intersectado
05675               |16300               
13150A              |03200               
03200               |16700               
08900               |06800               
18300A              |06400               
05000C              |09700               
17700               |10000               
12550               |03800               
07450B              |12900A              
18100A              |13200               
06200               |04700               
12900A              |08275               
12000               |20300B              
14300               |07600               
09400A              |03900               
12700               |08800               
07100A              |02200               
19500A              |09400B              
05300               |08200               
05275C              |15900               
14500B              |09400B              
01200               |15500               
18950               |14800               
14250               |19100B              
07300A              |02600               
03400               |13350               
11400               |14700               
13800A              |18700               
16700               |12000               
07775               |08475B              
09375               |09500               
14500B              |06000               
13100               |01200               
13100               |05400A              
03900               |09400A              
01800B              |12150               
35400A              |36900               
12650               |08475               
41500               |34400               
06000               |10900               
03700               |09200               
03800               |07150A              
12000               |16700               
15700               |06800               
09000               |14500B              
14300               |08800               
10900               |06250               
01700A              |08400               
15500               |04200               
16700               |                    
12700               |07600               
07400               |13900               
18300A              |12600               
19300               |13200               
39900               |34600B              
03800               |06300C              
13100               |11675A              
01400               |12300               
10000               |18100B              
10500               |08000               
09300               |06450               
08400               |02100               
03200               |08300               
04400               |12700               
13200               |18770               
07400               |16300               
11500A              |08200               
03800               |11950               
12700               |06850               
10275               |13900               
03100               |05200A              
05275A              |08100               
13630               |13670               
08275               |19900               
06100A              |08400               
15100               |00800               
07050               |15100               
04400               |14300               
15100               |02800               
                    |19500A              
20100               |10600               
05800A              |02300               
11100               |04000               
02600               |06700A              
08475               |14100B              
13100               |03800               
11000               |18100B              
16500               |13870               
13600B              |19500C              
05200A              |03700               
10200               |17900A              
05800A              |12900A              
04400               |11300A              
04400               |15900               
06700A              |03200               
01800A              |08100               
08200               |05550               
04200               |06900A              
41100               |31000               
08050               |14300               
05800A              |18300A              
06800               |02500               
15900               |13600A              
08275               |16900A              
07675C              |09125               
10000               |17700               
12900A              |07250A              
14050               |19300               
05875B              |12500               
09400B              |16700               
02000B              |16300               
11100               |06850               
15700               |05800A              
03400               |12550               
06400               |06100A              
04700               |07400               
08600               |09325               
20900A              |05000D              
10600               |17100               
07200               |05900B              
11100               |07600               
06300A              |05800A              
02000B              |13900               
00800               |16100               
14900               |07200               
08400               |04700               
19100B              |11200               
11900               |03200               
12500               |07675B              
06600A              |08500               
05600A              |09100               
06050               |15700               
13700               |05675               
05100               |05600A              
11800               |20500B              
08700               |04400               
20100               |10275B              
11500A              |05050E              
07500B              |07675C              
03200               |10900               
12300               |04800B              
07025A              |09900A              
07450B              |13300               
12500               |02400               
04600               |15100               
12300               |07000               
13300               |07200               
06000               |16700               
12700               |04000               
06200               |03100               
03700               |08400               
08200               |05100               
05000B              |05500A              
08500               |05400A              
17900A              |11450B              
16900D              |13600A              
06400               |01725               
04400               |13100               
11900               |07650               
13300               |04600               
14100B              |04800B              
14900               |06050               
17100               |10600               
09700               |07400               
03600               |13900               
16300               |00800               
04000               |09500               
16550A              |11600               
37100               |32800               
11300A              |04000               
14700               |03600               
13500A              |13900               
05275A              |06025               
09400A              |05525               
06100A              |07450A              
15500               |01400               
05400A              |07900               
08600               |02100               
04200               |05570               
13000               |11675A              
12900A              |05000B              
04300               |06400               
14300               |09800               
13250A              |15900               
05300               |06600A              
06250               |08700               
05600A              |03300               
19350               |13400B              
15950               |01400               
14300               |04000               
09400B              |16500               
12500               |07400               
05800A              |13300               
06200               |02100               
06850               |11900               
34600B              |40300B              
07100B              |                    
03200               |14150               
04025               |12300               
32600B              |36900               
13200               |20100               
10100               |05275A              
08500               |03800               
13900               |00800               
13300               |06050               
04600               |06300A              
12400               |15950               
14700               |02000B              
07000               |07300B              
06700B              |07000               
13900               |02800               
14900               |04600               
04600               |15700               
15300               |11800               
08900               |05800A              
03550               |09200               
13000               |18700               
11850B              |19900               
15900               |09800               
18500A              |14400               
05800A              |14900               
12100               |04025               
07000               |04300               
07300B              |06400               
20100               |13675               
07450B              |07950               
07025               |00975               
15900               |04000               
06050               |15100               
02100               |08200               
20300A              |05650B              
13670               |16500               
03000               |09300               
02800               |07500A              
04900B              |09000               
16530B              |13000               
14100A              |00800               
11250B              |19300               
05000C              |10300               
08100               |                    
13100               |05250A              
06200               |12900A              
12700               |08400               
15500               |03000               
18950               |05200A              
11800               |15300               
02900               |06400               
07200               |15700               
16700               |08000               
06200               |02300               
05900B              |06200               
18900               |                    
05050G              |20700A              
14500B              |03800               
07000               |05300               
04025               |12700               
06200               |18300A              
05700C              |06600A              
00775A              |07225               
32400B              |37500               
05300               |05200A              
09600               |15700               
09400B              |17300A              
06500B              |07000               
07000               |18950               
17300B              |13200               
38800G              |34725A              
20500A              |05250B              
12900B              |09875A              
15500               |01800B              
14300               |07450B              
25000P              |25100P              
06100A              |07600               
13700               |05600A              
20700B              |08250B              
38800G              |34925               
15950               |01800B              
04025               |11300A              
08600               |12900A              
04025               |15900               
07450B              |07700A              
08050               |03350               
09700               |07050               
01600               |08900               
08600               |02300               
15100               |05800A              
                    |14925               
03000               |08500               
36800A              |36300               
07800               |13700               
08400               |13300               
08200               |14700               
02475               |21100               
36200               |36500               
09075A              |00750               
04600               |07300A              
03400               |10500               
05275A              |15900               
15900               |08400               
06000               |14500B              
13400B              |19100B              
09600               |15100               
12400               |18500A              
14500B              |05400A              
13100               |06000               
05800A              |04700               
17/1                |2/2                 
14100B              |08600               
17750A              |10200               
12700               |07450B              
01400               |13100               
08600               |13500A              
15000               |18950               
04400               |08100               
07200               |15100               
00375               |07025               
16300               |06800               
02900               |08670               
05275A              |14300               
03900               |05800A              
03100               |08200               
06675               |11100               
10700A              |04025               
07000               |08700               
34500               |38800G              
05400A              |17500               
18550               |06200               
06900A              |03000               
09050               |05550               
18500B              |05000B              
11500A              |04400               
07600               |08050               
06200               |13500A              
09600               |19500B              
10100               |08275               
04800B              |08700               
08000               |15500               
08200               |06300B              
03800               |07900               
07500A              |03400               
004050              |16900B              
03200               |11100               
15300               |11000               
10485               |18900               
                    |08870               
07100A              |04400               
09500               |02000A              
06250               |07300B              
08450               |04100               
13350               |04000               
09700               |05050C              
13900               |06800               
36400               |39100               
07600               |16100               
15500               |00600               
09400B              |19500A              
09400B              |14500B              
10700B              |05800A              
13800A              |18900               
03600               |05700A              
06225B              |08275B              
34850               |40300B              
05650B              |20700A              
03300               |09000               
11300A              |08400               
15300               |10000               
07200               |16300               
09100               |01625               
13800B              |20500C              
09600               |13900               
03600               |07300A              
09800               |04570               
12500               |07200               
10100               |06600A              
15100               |06200               
02000B              |11750               
18900               |10675               
00975               |07425               
07025A              |07875               
08700               |06400               
07200               |13900               
03400               |08300               
05675               |09100               
08000               |04100               
09600               |16300               
00575               |07025               
07400               |03300               
17750A              |05275A              
14000B              |20150               
18900               |06000               
06400               |06500B              
13300               |07675B              
05050E              |08100               
06300C              |03000               
15300               |00400               
04900A              |05600A              
08275               |14100B              
14300               |08600               
11950               |01800B              
14500A              |02000B              
35400A              |37300               
14700               |05600A              
41000               |34900               
02500               |06800               
07000               |03100               
07675B              |05275C              
20500B              |11800               
18950               |05275A              
16925               |12000               
37500               |32400B              
14300               |09450               
16700               |05400A              
06600A              |08100               
14900               |02400               
13800A              |16500               
11600               |15300               
01800B              |13100               
05600A              |06900B              
03700               |04870               
20150               |13400C              
05900B              |05800A              
18300A              |11250B              
                    |21100               
12000               |18700               
13500A              |02200               
05000B              |12100               
02600               |08900               
04400               |09300               
06800               |16100               
10700B              |06200               
09200               |05525               
08800               |20900B              
12900B              |10275               
02900               |06600A              
16925               |                    
14100B              |07450B              
13100               |01000               
02800               |06700A              
07450A              |07675C              
06400               |12300               
08275               |17900A              
13250B              |20150               
04000               |07700A              
38300               |33600               
06100B              |04200               
05700C              |06400               
39400               |34700               
16700               |11675A              
07000               |10925               
13800A              |16700               
01475               |10700A              
                    |20700C              
13300               |10275               
12600               |15900               
09100               |03400               
09400A              |04530               
07400               |13950               
10200               |16900A              
13100               |                    
08330               |07675C              
04550A              |                    
07400               |04900B              
13300               |07400               
08600               |04300               
32800               |37100               
05525               |09000               
04300               |05200A              
03700               |07000               
06400               |06700B              
07675C              |08500               
07450A              |06025A              
03400               |16700               
03900               |06200               
12300               |08400               
04700               |07200               
06200               |04300               
08275B              |06025A              
04700               |09600               
05000B              |10700A              
14500B              |08000               
12200               |15500               
07700A              |04600               
04200               |14700               
12100               |03000               
11900               |03400               
07300B              |05200A              
32200B              |40300A              
06025               |05650A              
12500               |04600               
09700               |06050               
07000               |02100               
06400               |14100B              
17900A              |09800               
06200               |07300B              
39900               |36050A              
05550               |09050               
06825               |00775A              
03000               |13100               
18950               |06400               
15500               |04025               
34725B              |36200               
06200               |18950               
05275C              |19900               
03600               |15100               
07500A              |03200               
06200               |05300               
11000               |15300               
15950               |04025               
15900               |04800B              
04200               |13500B              
14900               |07050               
06400               |14300               
02000B              |15700               
03400               |14500B              
07000               |02300               
10925               |07250A              
03000               |08100               
15900               |07000               
04570               |09600               
06000               |18900               
08300               |03800               
06800               |11900               
07000               |12900A              
05300               |06400               
04300               |06600A              
17750A              |08275               
16500               |11675A              
06200               |17750A              
06300A              |06200               
25100P              |25200P              
09125               |07450B              
14300               |04800B              
06050               |16300               
11300A              |07000               
14700               |05675               
04800B              |12900A              
16500               |11850A              
06300A              |06300B              
18900               |13800A              
35700B              |37675               
02300               |08200               
04300               |08275C              
08000               |02700               
10000               |15300               
10675               |18900               
11300A              |04800B              
                    |05400A              
                    |07075               
09450               |05300               
08700               |01800A              
07300B              |06600A              
08200               |04500               
17750A              |06400               
14100B              |04000               
15500               |05850A              
06400               |12700               
06050               |13900               
08600               |05300               
13450A              |16500               
14100B              |09800               
10300               |02200               
05200B              |20300A              
04000               |14900               
14200               |18950               
07150A              |03000               
11450B              |17750A              
01200               |13700               
16750               |05200A              
05400A              |13700               
12700               |04800B              
06500B              |08400               
06200               |08700               
08300               |05400A              
07425               |01175A              
08275               |15900               
                    |11675A              
12700               |07000               
12300               |04000               
04000               |13300               
09800               |12900B              
10700A              |03000               
16300               |01600               
02000B              |15100               
08075               |06225B              
08275               |14300               
07075               |07000               
03600               |15700               
06000               |07100B              
06400               |03700               
33200               |38300               
09850               |13900               
32625               |36700               
18950               |12600               
37600B              |39100               
09900A              |06800               
                    |18700               
03200               |09750               
09125               |08400               
                    |02450               
08275               |12700               
13700               |02000B              
09300               |03800               
04600               |13900               
07100B              |06000               
13900               |01600               
16930               |10000               
07000               |13500A              
05800A              |09500               
10100               |04400               
11200               |14700               
08600               |08700               
05985               |06500B              
12900A              |02200               
06300C              |04000               
06000               |09500               
08900               |06400               
04800B              |10900               
10900               |04200               
15700               |12600               
05100               |08000               
41500               |31200               
09250B              |19900               
05600A              |14700               
04000               |08300               
05600A              |04900A              
07500B              |07000               
34000               |35700A              
00800               |14500A              
07500A              |05000C              
02600               |07150A              
12700               |04025               
09050               |05900B              
04750               |09000               
07300B              |05800A              
05800A              |07100B              
09000               |05300               
08670               |02900               
13300               |08650B              
08750               |06800               
12300               |01400               
03000               |11700               
05650B              |20500A              
05000B              |15100               
15900               |13250A              
18100A              |13800A              
02200               |09100               
06700A              |02400               
05200A              |17700               
38700               |                    
04600               |05500A              
16700               |05675               
                    |17750A              
12900A              |06800               
04300               |05800A              
38000C              |39500               
02000B              |15950               
09300               |05600A              
04050               |14100B              
36100B              |36600A              
                    |18950               
04025               |10300               
14100B              |08050               
07625               |00985               
11950               |05650A              
02300               |06800               
14050               |19350               
15500               |07000               
03800               |06700A              
00600               |15300               
05275A              |10300               
07400               |04500               
04400               |12500               
05300               |06200               
08800               |13700               
08300               |05600A              
15700               |08275               
03600               |06900A              
14800               |19150               
06400               |05700C              
11000               |13100               
39200A              |35550               
15900               |04025               
03400               |07700A              
04400               |09700               
12100               |04000               
05050G              |20500A              
05900B              |05200A              
09000               |08700               
06200               |18700               
15500               |04800B              
18950               |06200               
16350               |09600               
02600               |06300C              
17750A              |06200               
01800B              |11700               
05800A              |10500               
08330               |07450B              
05800A              |18900               
11300A              |04025               
10300               |06800               
00800               |13700               
05000B              |06300A              
06450               |13500A              
08875A              |00900               
32400B              |40300A              
10000               |13100               
12200               |18550               
07800               |11900               
09050               |20100               
13500A              |00800               
20500A              |05200B              
34200               |36100A              
07450A              |07450B              
01300               |08890A              
05000B              |15700               
07950               |07800               
06300A              |06400               
15100               |05275A              
18950               |14200               
13700               |08000               
06900B              |07200               
18175               |17900B              
04200               |05985               
20100               |05275C              
13900               |05000B              
20700A              |05600B              
05600A              |05100               
07600               |13700               
17350               |10000               
07500A              |02000A              
05050E              |11700               
39000A              |35550               
09125               |07675C              
10250               |16900A              
05900B              |06600A              
08475               |13400A              
18100A              |06000               
06600A              |03500               
09500               |03400               
03600               |12100               
10700B              |06400               
10600               |15500               
37700               |32400B              
04900A              |05400A              
01300               |0525                
13850               |09400B              
10100               |05800A              
08900               |01800A              
03000               |15300               
04300               |08250B              
14700               |01200               
14700               |05400A              
01400               |12500               
08200               |04900B              
08075               |07025A              
                    |05675               
06500A              |04200               
15300               |03200               
19500B              |08275               
08475               |17700               
11675A              |19500C              
36050B              |40100B              
09300               |05675               
02600               |15500               
37100               |34200               
19100B              |13600B              
12900A              |02800               
12900A              |00800               
06400               |02900               
02500               |08200               
17770               |08275               
11400               |15700               
06250               |10900               
03900               |06400               
13000               |18300A              
11800               |19900               
14000A              |15900               
02700               |07600               
09600               |05550               
34725B              |38200A              
13400A              |16900D              
13300               |07800               
09750               |03000               
16550A              |17300A              
04800B              |11100               
03200               |08700               
03400               |13300               
08275               |10100               
15700               |05275A              
08700               |06200               
08300               |05675               
00750               |09075A              
03600               |10700A              
06800               |07900               
17500               |13800A              
004050              |16700               
15500               |09450               
12300               |01800B              
15100               |06400               
10200               |17700               
15500               |08600               
18900               |09275               
14700               |11675A              
11700               |03400               
03400               |14900               
                    |04300               
14800               |18770               
07450B              |05500B              
08500               |03600               
07800               |16100               
11275B              |18900               
12100               |08400               
07150A              |04000               
05000B              |05900B              
14900               |07800               
07000               |07225               
11400               |15100               
33600               |39900               
32800               |36900               
08200               |03300               
07775               |08275B              
07450A              |07900               
20300A              |05400B              
01800B              |15300               
09800               |17300A              
07200               |14950               
02900               |05800A              
10700A              |04000               
14700               |03800               
14600               |18900               
07000               |11100               
12300               |03000               
18950               |15000               
15100               |08275               
10300               |02800               
07300A              |04400               
                    |32850               
09000               |04300               
20500B              |11050               
07775               |06800               
08275C              |03500               
09200               |13700               
39100               |37400               
05600A              |04500               
16100               |11000               
06200               |12350               
05700B              |05000B              
03000               |12500               
05675               |14700               
05400A              |11900               
18550               |06400               
13850               |16500               
10700A              |04800B              
01400               |15300               
34725A              |38800G              
13500B              |02450               
14300               |00600               
09275               |19900               
05250A              |13300               
01000               |12900A              
11600               |19900               
13500B              |03800               
13600A              |18100A              
14700               |08000               
07500B              |07450B              
16700               |12650               
07400               |06300B              
40300A              |31600               
08400               |16700               
16100               |10000               
09000               |12900A              
09275               |16900A              
03800               |16100               
12700               |03000               
03000               |09700               
02450               |16100               
07600               |20350               
07000               |07075               
05200A              |03500               
08475               |15300               
15100               |05050E              
07150A              |04800B              
09100               |02000A              
13400A              |15900               
07450A              |09150               
03600               |06100B              
13700               |05400A              
08000               |10700B              
13700               |01200               
                    |18300A              
18300B              |11000               
04025               |11500A              
04850A              |09150               
36700               |32625               
12900A              |01600               
08300               |03600               
04600               |12100               
06200               |10900               
15900               |13830               
13850               |                    
06000               |04700               
08000               |03900               
12700               |01800B              
                    |12900A              
11400               |16300               
34000               |37500               
06100A              |04200               
08900               |04400               
06850               |07900               
13500A              |10600               
09800               |04550A              
08500               |05675               
11200               |08475               
20100               |13250B              
17500               |13000               
01600               |15500               
32800               |40300A              
03100               |06800               
03900               |08275C              
06300A              |04400               
11300A              |01800B              
01800B              |12500               
07400               |14700               
03400               |09500               
05900B              |06400               
                    |13500A              
09300               |03600               
15900               |03000               
05550               |09200               
41500               |32200B              
15700               |04400               
01450               |14300               
02900               |06200               
10700B              |06600A              
14300               |01800B              
11675A              |16100               
07025A              |08075               
05985               |04600               
06050               |12100               
15700               |05200A              
04200               |09100               
19300               |                    
40300A              |33200               
07300A              |01800A              
16700               |13200               
01000               |13500A              
01575               |01900A              
34925               |38800G              
04100               |09200               
08400               |16500               
13600A              |17500               
07900               |06000               
15900               |01800B              
09000               |13500A              
03900               |06600A              
04600               |10700A              
34600B              |39900               
08700               |05800A              
03800               |07500A              
06300A              |05200A              
14300               |03000               
36200               |35900A              
35125               |37825               
06700A              |04600               
12400               |15100               
08475               |06025B              
11100               |04200               
16100               |11800               
05200A              |15300               
03550               |08925B              
15900               |01400               
13200               |18500A              
04300               |06200               
19500B              |05275C              
01575               |07425               
03200               |12900A              
06000               |14900               
10000               |16900A              
11700               |07650               
04700               |07800               
08600               |01700A              
15100               |08475               
17750A              |11275B              
06000               |13300               
37900               |32850               
01900A              |07225               
15500               |04000               
01200               |16100               
16300               |03250B              
05100               |05400A              
09000               |03100               
05400A              |16100               
09100               |05000C              
15500               |09800               
18950               |14600               
10800               |15700               
19300               |13000               
14300               |01400               
18950               |11275B              
12100               |04800B              
07300B              |06200               
08275               |09600               
10300               |02600               
09400B              |13300               
11000               |16900A              
02475               |17750A              
07600               |16730               
03800               |11900               
35400B              |38500               
12100               |07000               
06600A              |09700               
04025               |10100               
03900               |05200A              
11700               |03200               
05800A              |08300               
20300B              |13200               
08875A              |00700               
20100               |08275               
08275               |18100B              
08500               |05600A              
06300B              |08000               
05275C              |15300               
10925               |06800               
12700               |01400               
13600B              |19100B              
05275A              |10100               
04500               |06000               
03500               |09000               
08900               |06600A              
18100A              |13000               
20700C              |14000B              
07400               |05100               
15100               |05275C              
34000               |37100               
14500B              |05675               
07200               |12100               
07450B              |                    
32600B              |37100               
15300               |03400               
14300               |08050               
19300               |14230               
36500               |32800               
12400               |15700               
04000               |10500               
12400               |14750               
19150               |11000               
08800               |07900               
