codigo|codigo_intersectado
25100P              |25600P              
14300               |06000               
10285               |18100B              
02100               |07400               
18950               |11000               
33300               |32200A              
05500A              |05600A              
12800               |15950               
06900B              |06800               
10000               |16970               
11675A              |16530B              
12400               |15900               
13400A              |17900B              
02000A              |07300A              
06400               |05500A              
39400               |34900               
06100B              |03600               
07725               |05600A              
10500               |06250               
07300A              |03200               
11900               |06200               
04100               |05600A              
04400               |05570               
21100               |                    
11675A              |18900               
02700               |08630               
05650A              |11900               
05275A              |05275B              
06250               |10700B              
00775A              |06425               
14100B              |06450               
13150A              |02600               
04025               |12100               
03700               |06000               
15300               |08475               
09500               |06400               
17750A              |10000               
15900               |13450A              
07400               |09700               
14500B              |09200               
04600               |11500A              
06400               |14950               
09000               |04100               
09200               |13300               
18700               |06000               
02200               |09300               
05450A              |14900               
10600               |13500A              
11600               |19350               
37300               |33400               
04600               |07100A              
17750A              |11000               
04870               |03900               
                    |19100B              
06225B              |07675A              
12950A              |01600               
07825               |00975               
05300               |04800A              
07400               |12500               
13500A              |06050               
01800B              |14700               
05000B              |06100A              
07300B              |05000C              
07800               |16700               
03700               |09400B              
05600A              |03500               
35000A              |37100               
15900               |13270A              
07800               |08300               
08100               |04800B              
06700A              |02600               
07700A              |02200               
03500               |06400               
08100               |07000               
05985               |06100B              
06600A              |05100               
06250               |08900               
10500               |07000               
10925               |07400               
03800               |10500               
12500               |02200               
16700               |003650              
05600A              |11700               
15300               |04400               
18900               |07000               
07800               |16500               
05200A              |04500               
32850               |39100               
07200               |10100               
05675               |09700               
11100               |03800               
16900A              |07600               
15900               |13800A              
11700               |06400               
36200               |36300               
04900B              |04900A              
13500A              |09600               
13000               |15500               
06800               |14900               
14030               |19300               
18300A              |10285               
04550A              |09800               
15300               |05200A              
13100               |04000               
10800               |14300               
13500A              |07200               
15100               |03400               
35800               |40100B              
09400A              |04750               
03400               |07900               
07800               |                    
05675               |12500               
03000               |14700               
04025               |10700A              
04700               |08200               
06800               |13300               
06425               |01175A              
19150               |11275B              
15300               |05275C              
07100A              |04800A              
20300B              |13400C              
02600               |12900A              
16550B              |12600               
00775A              |06625               
07200               |02900               
19150               |14600               
02650A              |11700               
08500               |08800               
04200               |13100               
05675               |17700               
14700               |11400               
13100               |06850               
14300               |01200               
10300               |05000C              
31000               |41100               
04700               |06600A              
14300               |05400A              
34000               |39100               
40500               |32800               
09250B              |19500B              
06200               |07350A              
09100               |02600               
03400               |15500               
09300               |07000               
02800               |05125               
05800A              |09900A              
10275B              |19750A              
17900B              |12200               
06000               |02700               
20100               |12200               
04200               |12700               
02400               |10300               
06800               |07775               
07625               |00775B              
13100               |07600               
02800               |08700               
09900A              |03200               
12200               |16700               
03000               |06100B              
01725               |06000               
08850               |14100B              
19350               |14200               
05000B              |16900A              
09200               |12900A              
16900D              |13800A              
02900               |07200               
08800               |08700               
04200               |14300               
11900               |02600               
13400B              |                    
15900               |01200               
13700               |00600               
05450A              |12900A              
13500B              |03000               
18100B              |11000               
14000A              |19350               
01000               |13700               
04200               |11300A              
04600               |15300               
08000               |10500               
16100               |00800               
04700               |08275C              
07900               |04200               
18300A              |14000A              
04200               |15900               
08870               |                    
12700               |03800               
05500B              |07600               
08250B              |20700B              
04400               |06900A              
07500B              |05600A              
10800               |13100               
09000               |13700               
11800               |20100               
10100               |06050               
03600               |12500               
09400A              |05300               
36900               |36200               
13300               |05275A              
15300               |03250B              
08275B              |07775               
11700               |05000B              
18100B              |10000               
09200               |13500A              
17300A              |09800               
06025A              |08275B              
14100B              |08000               
32225               |32375               
05800A              |05700B              
05525               |09400A              
10700A              |03600               
04800B              |11900               
14500A              |01400               
07200               |11700               
09700               |06600A              
16300               |03400               
05600A              |10100               
10600               |14900               
11300A              |03800               
06900B              |05800A              
11200               |20950               
01000               |14500A              
08275A              |06225B              
09900A              |09000               
07200               |03500               
05300               |07400               
12200               |                    
13900               |13100               
15900               |11675A              
10600               |12900B              
17300A              |16550A              
13675               |19500C              
14300               |03800               
02000A              |09100               
11500A              |07675B              
05200A              |07500B              
16500               |07000               
33000               |36500               
07100A              |02400               
07150A              |03600               
05200B              |20500A              
06400               |05100               
10600               |13300               
08800               |05300               
05050C              |10100               
02600               |14900               
08500               |04000               
06050               |15300               
05600A              |02900               
04850C              |10900               
02000B              |12500               
08300               |04800B              
11500A              |02400               
05800A              |02500               
13900               |03400               
12700               |05400A              
10100               |07200               
08200               |06100A              
12700               |01200               
15900               |03800               
