CODIGO|ALTURADESDE|ALTURAHASTA
06000 | 5810| 10099
06025 | 2500| 2899
06025A| 3800| 3899
06025A| 4000| 4699
06025B| 3800| 4499
06050 | 4740| 5199
06050 | 5300| 5599
06050 | 6000| 6199
06050 | 6300| 6399
06050 | 6500| 8399
06100A| 2000| 4349
06100B| 1100| 2090
06150 | 3900| 3999
06150 | 4100| 4199
06200 | 0800| 4499
06200 | 4900| 10099
06225A| 0500| 0599
06225B| 3700| 4499
06225C| 3800| 4499
06230 | 9000| 9099
06250 | 3500| 3699
06250 | 4300| 4599
06250 | 5200| 5599
06250 | 6500| 6699
06250 | 7900| 8299
06270 | 9000| 9099
06275 | 0500| 0599
06300A| 2100| 3099
06300B| 3100| 3699
06300B| 3900| 4299
06300C| 1000| 2099
06350 | 4000| 4099
06400 | 0900| 4899
06400 | 5400| 9599
06400 | 10400| 10499
06425 | 0100| 0899
06425A| 3800| 4099
06450 | 3500| 3599
06450 | 4500| 4899
06450 | 5000| 5099
06450 | 6700| 7699
06485 | 3100| 3199
06500A| 0850| 2199
06500B| 2100| 3699
06500B| 4000| 4120
06600A| 0900| 4699
06600A| 4900| 5499
06625 | 0150| 0899
06650 | 4700| 4799
06650 | 7700| 7799
06675 | 4600| 5399
06700A| 0900| 2299
06700B| 2200| 3680
06800 | 0900| 6699
06800 | 7000| 9749
06800 | 10100| 10499
06825 | 0100| 0899
06825A| 7100| 7199
06850 | 1200| 1299
06850 | 4000| 4199
06850 | 5000| 5399
06850 | 5500| 5699
06850 | 5800| 6099
06850 | 6300| 6699
06850 | 7100| 7199
06900A| 0900| 2399
06900B| 2400| 3799
07000 | 0900| 2099
07000 | 2200| 3499
07000 | 3600| 7099
07000 | 7200| 7499
07000 | 7600| 9799
07000 | 10100| 10299
07000 | 10400| 10699
07025 | 0200| 0899
07025A| 2600| 3799
07025A| 3900| 4100
07025A| 4300| 5599
07050 | 3900| 3999
07050 | 1400| 1499
07050 | 4000| 4199
07050 | 4900| 5499
07050 | 7400| 7699
07075 | 3500| 4999
07100A| 0830| 2399
07100B| 2400| 3899
07150A| 0750| 0999
07150A| 1200| 2299
07150B| 2600| 2699
07200 | 0900| 3499
07200 | 4300| 9799
07200 | 10100| 10499
07225 | 0200| 0830
07250A| 1400| 1499
07250A| 1900| 1999
07250A| 2300| 2399
07250A| 4700| 4799
07250A| 5200| 5299
07250A| 5400| 5599
07250A| 6300| 6799
07250A| 7300| 7399
07250B| 3600| 3699
07250B| 4000| 4093
07250B| 4200| 4299
07275 | 3500| 4999
07300A| 0600| 2399
07300B| 2400| 3899
07350A| 2800| 2999
07350B| 3100| 3499
07400 | 0900| 1999
07400 | 2200| 3399
07400 | 4800| 10699
07425 | 0100| 0999
07450A| 3000| 4999
07450B| 2500| 2999
07450B| 5200| 5299
07450B| 5700| 6199
07450B| 6400| 7299
07475 | 3500| 4999
07500A| 0730| 2399
07500B| 2400| 3499
07550 | 0900| 0999
07550 | 3500| 3999
07600 | 1100| 1599
07600 | 1750| 1999
07600 | 2200| 2999
07600 | 3400| 3499
07600 | 5400| 7599
07600 | 7710| 8699
07625 | 0400| 0599
07650 | 1300| 1399
07650 | 1800| 1899
07650 | 5600| 6199
07650 | 6700| 7299
07675A| 3500| 3699
07675B| 5000| 10699
07675C| 3500| 4999
07700A| 0700| 2399
07700A| 3200| 3350
07700A| 3500| 3999
07725 | 2500| 2799
07750 | 3300| 3399
07775 | 2800| 4799
07800 | 0800| 1599
07800 | 1700| 2999
07800 | 5000| 5299
07800 | 5600| 8599
07825 | 0400| 0599
07825A| 3800| 4199
07850 | 0900| 0999
07850 | 1200| 1399
07850 | 5100| 5199
07850 | 6700| 6799
07850 | 6900| 7099
07875 | 3400| 3799
07875A| 3600| 3699
07900 | 0700| 4599
07950 | 3500| 3999
08000 | 0800| 1599
08000 | 1700| 3099
17300D| 0001| 1000
08025 | 0400| 0599
08050 | 0800| 1275
08050 | 1600| 1699
08050 | 2000| 2099
08050 | 2700| 2799
08050 | 5100| 5299
08050 | 6900| 7299
08075 | 3400| 3699
08075A| 3500| 3599
08100 | 0700| 4399
08200 | 0750| 3399
08200 | 5300| 6499
08200 | 7200| 8399
08250A| 3100| 3799
08250A| 3900| 4099
08250A| 4700| 4999
08250B| 1000| 1099
08250B| 2000| 2199
08250B| 2900| 3099
08250B| 4600| 4699
08250B| 6400| 6499
08250C| 3900| 4599
08275 | 5000| 10699
08275A| 3400| 3599
08275B| 3300| 3499
08275C| 1700| 2299
08300 | 0700| 4899
08330 | 3800| 3899
08400 | 0800| 3399
08400 | 3900| 4799
08400 | 5500| 6999
08400 | 7800| 8599
08450 | 1000| 1199
08450 | 1300| 1599
08450 | 2000| 2199
08450 | 2900| 3299
08450 | 3920| 4899
08450 | 6200| 6499
08450 | 7100| 7299
08475 | 5500| 7299
08475 | 8100| 8299
08475A| 3200| 3399
08475B| 3100| 3299
08500 | 0700| 4399
08550 | 2000| 2099
08600 | 0950| 1099
08600 | 1300| 1599
08600 | 1900| 3199
08600 | 3900| 4799
08600 | 6100| 6299
08600 | 6500| 7799
08630 | 1300| 1399
08650A| 1400| 1599
08650B| 6600| 6799
08650B| 7100| 7399
08650B| 7600| 7699
08650C| 7900| 7999
08670 | 1300| 1399
08670 | 1500| 1599
08675 | 3100| 3199
08675A| 0300| 0599
08700 | 0650| 4399
08750 | 3100| 3199
08800 | 1200| 2099
08800 | 2300| 2999
08800 | 3800| 4899
08800 | 6200| 8399
08825 | 3100| 3499
08825 | 3900| 4299
08850 | 4800| 4899
08850 | 5000| 5399
08850 | 6300| 6499
08850 | 7000| 7399
08850 | 7900| 7999
08850 | 8100| 8499
08870 | 2400| 2990
08875 | 3000| 3150
08875A| 0300| 0650
08890A| 0300| 0650
08900 | 0600| 3699
08925A| 3600| 4699
08925B| 1600| 1799
08950 | 2300| 2349
08950 | 2350| 2399
09000 | 1300| 3099
09000 | 3800| 4499
09000 | 5000| 5399
09000 | 5600| 5799
09000 | 6200| 8599
09050 | 1300| 1750
09050 | 1800| 1899
09050 | 2400| 2999
09050 | 6000| 6099
09050 | 6300| 6399
09050 | 7100| 7299
09050 | 9600| 9999
09075A| 0300| 0699
09100 | 0600| 2299
09100 | 2400| 3699
09125 | 3600| 4699
09150 | 2300| 2399
09150 | 4000| 4199
09175 | 0600| 0799
09200 | 1600| 2999
09200 | 5900| 8499
09200 | 9600| 9999
09230 | 2100| 2199
09250A| 1700| 1999
09250A| 2400| 2999
09250B| 5900| 6199
09250B| 7100| 7199
09250B| 8100| 8499
09250B| 9600| 9999
09270 | 2100| 2199
09275 | 7900| 8299
09300 | 0700| 3599
09325 | 3600| 4699
09350 | 0900| 0999
09350 | 3200| 3299
09350 | 3400| 3499
09375 | 0600| 0999
09400A| 1700| 2999
09400B| 5900| 6199
09400B| 6700| 7499
09400B| 7800| 9399
09400B| 9700| 9999
09450 | 2400| 2899
09450 | 6000| 6099
09450 | 7100| 7199
09450 | 7800| 7999
09450 | 8200| 8299
09450 | 9800| 9999
09475 | 8500| 8599
09500 | 1200| 3699
09525 | 3600| 4699
09550 | 2400| 2450
09600 | 2240| 10099
09630 | 7800| 7999
09650A| 2400| 2799
09650B| 7100| 7199
09670 | 7800| 7999
09675 | 7300| 7499
37125A| 0001| 9999
09685 | 7300| 7499
09700 | 1000| 3699
09750 | 0800| 1699
08875B| 9100| 9199
09830 | 2300| 2399
09850 | 7000| 8199
09870 | 2300| 2399
09200 | 4200| 4399
09875A| 6500| 7099
09900A| 1400| 1499
09900A| 1510| 3549
09900B| 3600| 4349
09950 | 1000| 1189
09950 | 2800| 2899
10000 | 6500| 7099
10000 | 7800| 9599
10030 | 9100| 9599
10050 | 8100| 8199
10070 | 8100| 8199
10075 | 9100| 9399
10085 | 9100| 9199
10085 | 9300| 9399
10095 | 9100| 9199
10095 | 9300| 9399
10100 | 1000| 4099
10130 | 3200| 3499
10200 | 7100| 9099
10230 | 8100| 8199
10250 | 8400| 8599
10270 | 8100| 8199
10275 | 6500| 7099
10275B| 9100| 10699
10285 | 9100| 9399
10300 | 0900| 4099
10400 | 6500| 8699
10420 | 8100| 8199
10430 | 8100| 8199
10450 | 8100| 8199
10460 | 8100| 8199
10470 | 8130| 8199
10475 | 9100| 9399
10485 | 9100| 9399
10500 | 0800| 4099
10550 | 0800| 1099
10550 | 1200| 1299
10600 | 6500| 9100
10650 | 8700| 9099
10665 | 8400| 8599
10675 | 9100| 10399
10675 | 8600| 8999
10675 | 9100| 9399
10685 | 9100| 9399
10700A| 0800| 2499
10700B| 2500| 4199
10750 | 2070| 2150
10800 | 6500| 9099
10800 | 9600| 10699
10875 | 8700| 9699
10900 | 0900| 4199
10925 | 3110| 3699
11000 | 6500| 9399
11000 | 9600| 9799
11000 | 10400| 10699
11050 | 8000| 8099
11050 | 9300| 9399
11050 | 9600| 9799
11050 | 10400| 10499
11075A| 8600| 8750
11075B| 9500| 9699
11100 | 0800| 4399
11200 | 6500| 10699
11250A| 8000| 8099
11250B| 9300| 10199
11250B| 10600| 10699
11275A| 6300| 7099
11275B| 8500| 9699
11300A| 0700| 2599
11300A| 3200| 4499
11300B| 2700| 3199
11325 | 2200| 2499
11350 | 4100| 4199
11350 | 4300| 4399
11400 | 6500| 10699
11450A| 8000| 8099
11450B| 10100| 10199
11450B| 10600| 10699
11500A| 0730| 2499
11500A| 3200| 4199
11500B| 2600| 3199
11525 | 2200| 2499
11550A| 2900| 2999
11550B| 3400| 3499
11550B| 4100| 4399
11600 | 7200| 10699
