CODIGO|ALTURADESDE|ALTURAHASTA
33800 | 0001| 9999
34000 | 0001| 9999
34200 | 0001| 9999
34400 | 0001| 9999
34600A| 0001| 9999
34725B| 0001| 9999
38600G| 0001| 9999
38800G| 0001| 9999
39000G| 0001| 9999
39200G| 0001| 9999
39050 | 0001| 9999
30800 | 0001| 9999
35550 | 0001| 9999
32225 | 0001| 9999
31575 | 0001| 9999
31775 | 0001| 9999
32025 | 0001| 9999
32050 | 0001| 9999
31975 | 0001| 9999
32175 | 0001| 9999
32195 | 0001| 9999
32185 | 0001| 9999
60000 | 0001| 9999
60100 | 0001| 9999
60200 | 0001| 9999
60300 | 0001| 9999
60500 | 0001| 9999
60700 | 0001| 9999
61000 | 0001| 9999
61100 | 0001| 9999
61200 | 0001| 9999
62000 | 0001| 9999
62200 | 0001| 9999
62300 | 0001| 9999
50200 | 0001| 9999
50300 | 0001| 9999
60800 | 0001| 9999
62400 | 0001| 9999
63000 | 0001| 9999
50000 | 0001| 9999
50100 | 0001| 9999
07050 | 4699| 4900
20550 | 4400| 4699
09400B| 10299| 10499
20700B| 4599| 4699
20750 | 4599| 4699
09400B| 10499| 10599
20900B| 4599| 4699
09400B| 10599| 10699
09600 | 10299| 10399
20350 | 4599| 4799
20300B| 4599| 4799
20500B| 4599| 4799
09450 | 7600| 7699
07650 | 3700| 3750
07650 | 3800| 3899
19700 | 2400| 2499
05200A| 9700| 9899
05070 | 9800| 9899
05000B| 9800| 9899
20700B| 3600| 4399
07800 | 10400| 10699
20350 | 3600| 3899
07450B| 10400| 10599
07600 | 10350| 10589
07650 | 10400| 10589
07850 | 10400| 10570
14025 | 9800| 10499
20770 | 3800| 3999
20900B| 3750| 4299
20950 | 3800| 3899
20570 | 3900| 3999
20530 | 3900| 3970
08030 | 10450| 10499
08070 | 10430| 10499
08200 | 10400| 10699
08250B| 10500| 10599
08400 | 10500| 10599
08450 | 10600| 10699
08600 | 10500| 10599
08650B| 10500| 10699
08800 | 10500| 10699
08925B| 1100| 1199
05030 | 9700| 9899
20750 | 4300| 4399
20750 | 4100| 4199
07000 | 7500| 7599
09075A| 8600| 8799
13350 | 1699| 1800
02900 | 4600| 4700
04800B| 8900| 8999
20550 | 7000| 7999
39700 | 0000| 9999
16950 | 2300| 2599
17100 | 2300| 2599
17150 | 2300| 2599
20130 | 6900| 6999
02650C| 7000| 7199
05440C| 8800| 8899
04850 | 9000| 9399
08350 | 4000| 4699
05200A| 1500| 3499
04870 | 9400| 9499
19350A| 4600| 4699
20350 | 7000| 7999
19350 | 4600| 4699
09400B| 7600| 7699
07230 | 10400| 10499
10400 | 9600| 9960
09800 | 2230| 8299
10600 | 9600| 10099
10650 | 9600| 10099
19900A| 5200| 5299
19700 | 5000| 5299
18550 | 4800| 4899
19750A| 5000| 5299
16590 | 1400| 1499
16700 | 1500| 2099
16900B| 1400| 2099
16750 | 1400| 1499
16500 | 1400| 1499
16500 | 1800| 2099
03200 | 5500| 8499
37150 | 0001| 9999
03250B| 8100| 8499
03400 | 5300| 8499
37470 | 0001| 9999
03450 | 8200| 8499
37650 | 0001| 9999
03600 | 8100| 8499
03800 | 4600| 8499
04000 | 8300| 8499
04200 | 8300| 8499
04250 | 8400| 8499
04050 | 8400| 8499
03850 | 8400| 8499
00525 | 0300| 0600
02250 | 3500| 6500
38600C| 0001| 9999
09050 | 8100| 8599
09275 | 8700| 9399
09250B| 9100| 9399
09230 | 9000| 9299
09450 | 8700| 9399
09095 | 8700| 9399
09430 | 9100| 9399
05725 | 4500| 4799
05925 | 4500| 4799
09085 | 8700| 9399
08885 | 8700| 9199
08895 | 8700| 9399
09075B| 8700| 9399
16900A| 2400| 2599
09050A| 4300| 4399
17300C| 3700| 3799
08875B| 8700| 9099
16900A| 3400| 3459
17530 | 8000| 9099
09050A| 4000| 4299
08685 | 8800| 8899
09275A| 4200| 4299
07925 | 4400| 4599
17350 | 5000| 5099
04000 | 8800| 8999
04050 | 8800| 8999
17300A| 1600| 1999
03850 | 8800| 8999
03800 | 8800| 8999
09870A| 8100| 8199
10030A| 8100| 8199
05200A| 3500| 3599
10250A| 8100| 8199
03650 | 8800| 8999
16350A| 4500| 4799
03600 | 8800| 8999
09400B| 7700| 7800
09450 | 7700| 7799
10000 | 7700| 7799
00825 | 3500| 4300
08525 | 0000| 0700
00275 | 0100| 1600
07270 | 10400| 10499
07250C| 10400| 10499
09400C| 6600| 6700
09650B| 7700| 7799
08000 | 5300| 5399
09650B| 7800| 7899
16900A| 2300| 2399
04400 | 9400| 9499
01600 | 8200| 8299
16500 | 0600| 0699
01800B| 8200| 8299
16350 | 0600| 0999
20900B| 3100| 3199
09050 | 3900| 4099
09200 | 3900| 4099
09400B| 7500| 7599
16350B| 2300| 2599
